reviews_name,reviews_text,reviews_reviewer,reviews_date,reviews_stars
Who will provide the service after sales?,"I have purchased Samsung A8+ on 12th Oct and the return window was showing as ""closed 22 Oct 2018"". Yesterday on 23rd (11th day of the purchase), was started not working. I was switched off the mobile while going to a meeting and again switched on after the meeting. Then, the mobile showing- Encryption problem"". I have submitted to the Samsung service centre along with invoices and they told that- ""it may be happen due to the interruption of updates"" and it takes 4-5 days to come to a decision.
I would like to draw your attention that, the phone simply become dead when I switched off.
Since it was purchased ""ONLINE"" through Amazon, who will give the immediate support? The service centre is mentioning the lengthy procedure for which I have no time because I am travelling to Germany and France on 27th Oct. Usually, the return duration shall be one month on Amazon. Why it was closed in 10 days?
It was a new piece and for simple reason, the phone was dead which was a manufacturing defect.
I request you to consider the case and allow us for replacement in a day or two as I am the Prime customer. I have never returned any goods so far.",GOPALA KRISHNA,24 October 2018,1.0 out of 5 stars
Average category except camera,Battery life is less,Karthik,8 August 2018,2.0 out of 5 stars
Best phone ever,Best phone ever.... camera of phone is too good very nice camera quality but proccessor & graphic not so good for the games .. but over are phone are nice in this price 👍,Amazon Customer,17 August 2018,4.0 out of 5 stars
Heat,"mobile gets heat even normal usage like chatting,talking,camera & browsing. Totally worst experience from top brand. amazon not ready to immediate for replacememt they consider mobile temperature more than 45 c only. But now im facing 40 c eventhough this much of heat they are not ready to listen customer concern.",Shridhara S B,12 October 2018,1.0 out of 5 stars
Great prodect,"Its a great phone from samsung.
I always prrfer A8 plus for gamers,mobile photograpers.
The multi tasking feature is superb in this phone.Good sound quality,front cameras also great especially who love selfie.",Varun,6 October 2018,5.0 out of 5 stars
Five Stars,ITS REALLY AMAZING.,subhrabrataroy,21 September 2018,5.0 out of 5 stars
Good phone with High Speed RAM,"I have Orderd this phone in Oct 2018.
Aftet using a few week I m proving my feedback.
1. Phone is nice
2. Great 6GB RAM
3. When you purchased this phone you get Android 7.1 but whan you connect the Internet your Android version will be updated with 8.
4. Camera is not adequate but front camera really awesome.
5. Battery backup Good as compared to other phone.
6. You will also also get Free back cover in your box.
7. Led Notifiaction available
8. Both SIM are 4G and LTE supported means you can use both SIM simultaneously as 4G.
9. Get Blue light filter for youe eyes protection.
10. You can also get PANIC support by pressing 3 button.",Alok kumar,28 October 2018,5.0 out of 5 stars
Below expectations!,"Not up to the expectation since 6gb Rom and 16mp camera...I have to recharge it twice a day for watching online video of approx 1.5hours, using social media(Facebook,Twitter,watsapp) for 1hour, phon calls 5mins and imo call for 45mins.
It stops responding as well.
Picture quality Average
Sound Very low
Performance Hangs
Battery life Average",Navin M.,3 November 2018,3.0 out of 5 stars
A+++,Excellent phone. Fast delivery.,Krishan Bhatia,7 April 2018,5.0 out of 5 stars
Mobile with great potential but with little bit of compromise,"I am using this model for just over 1 month. Here is my experience with this phone.
Pros:
1. It is smooth. Like really smooth performance it has got. With 6 gb ram and exynos 7885 octa core processor it is like a flagship.
2. The display. Super amoled display is always crisp and great and it has the same.
3. Fast charging. It really does the trick. To get from 2% to 100% charge it takes about 1 hour.
4. It is splash proof. To test I have splashed a whole mug of water on the phone. It is fine as promised.
5. Stunning look. It has glass on both side and the look and feel of the model is awesome. People often will think about it as Galaxy note 8.
6. Dual VOLTE. It has dual VOLTE support. That means if you are using one jio sim and other vodafone/airtel, you can use data from Vodafone/airtel and still Jio will be working.
7. Dedicated sd slot. It has 2 sim slots and one dedicated micro sd card slot.
8. It is Dolby supported. So if you have a good headset you will get very good and clear sound.
Cons:
1. Battery could have been better. With 6"" display and super amoled it lasts about 10 hours with heavy usage.
2. No front flash. Dual camera is present on the front so you will get the boke mode.
3. No dual camera on the rear. At this price range it should have been provided.
4. Sometime the phone feels heavy a bit. It is over 190gms.
Verdict: If camera is not your first priority, great performance with little bit of compromise with battery is not an issue for you you can surely go for it. I bought it on sale @Rs.21000+ and it is worth that.",Rajdeep Bhattacharjee,12 November 2018,4.0 out of 5 stars
Superb phone !,"Let me start by saying that there are better phones in this price segment. But, if you find this phone in less than or around 20k just go for it. Its a flagship like feel. Build quality and battery life is super. Screen is just what you need. Its a Amoled display which meets expectations. Sound wise performance is superb ( Dolby support). Signal quality you can't complain about. Now, average or below average part is its camera. In daylight condition its quite good, but in poor lighting conditions it totally fails. Like a Mi phone of 10k performs better than it. This is the only downside i felt. I have been using it for now more than a month. I purchased it for 18k during tbe big billion days offers. A lot of people complain about it fingerprint sensor, let me say that it is very fast. And also the face unlock feature is not bad. It performs in low light conditions as well. I swear to it. Overall if you are normal user and not than much photogenic or selfie freak you are not going to regret it. Its a good phone after all. I am totally safisfied with it. It only there would have been wireless charging support it would be a killer.",Sumit K. Singh,25 November 2018,4.0 out of 5 stars
Very Nice and sturdy phone,"Screensize - 5 star
Sound- with powerful speakers the output is really good.
Performance- with 6GB RAM and a powerful processor, the performance is quite good in all respects, except that the fingerprint works a bit slower. Face recognition is not so good.
Storage - 64 GB is awesome.
weight - Its a bit heavy phone as compared to other competitors.
Battery - Fast charging - 70 min to fully charge and battery lasts for more than 24 hrs even with quite extensive internet usage.
Price - Amazon sale gave a decent price and hence overall the phone is very good",Pankaj Singh,29 October 2018,4.0 out of 5 stars
Display Screen issues,"Within a week of usage of new SAMSUNG Galaxy A8, display was having issues. Lines started to appear.
Technical guy from Amazon came and could not complete the repair and issued a technical note for replacement.
No proper followup further to replace/repair/refund the product.",Ram,24 October 2018,2.0 out of 5 stars
Price is 2 high,Samsung a 8 plus price is to high,Amazon Customer,26 August 2018,2.0 out of 5 stars
Best alternative to over priced Samsung S and Note Series,"Almost 80-90% features of its costlier siblings in much pocket friendly rates.
Superb water resistannce.
Amazing sound quality.
Doesn't have front flash for some unfathomable reasons, have to make do with screen flash , which btw is sufficient.
Good primary camera for daylight and low light photography.
Phone warms up a little during outdoor usage.
Display quality is just great for this price tag.
Battery easily last for 10-12 on average usage and around 18-20 hrs on conservative use.
Some cool features like samsung health, Bixby, Samsung pay, knox security folder.
All in all a great and pocket friendly utility device.
Would recommend to anybody who wants a ""smart"" phone.",Utkarsh Kalmegh,22 November 2018,4.0 out of 5 stars
All round phone. Deserves 3.5-4 star.,"I grabbed it on the Diwali Sale. For that price, I felt the product is fantastic. This was a tough choice because there's a lot offered and some things missing. The build is super. Fingerprint magnet but feels very premium to look and hold. The processor performs well too. I expected tad bit better performance. Gaming is a 3.5/5. Daily use is very good. It delivers without making you wait. It is snappy for daily activities. Music is good. The sound is pretty loud from the speaker. Quality is appreciable. Dolby does a good job on earphones over Bluetooth or 3.5mm jack. Fast charging is sweet. Fills it up in no time. An hour worth of charge is always enough for me ( > 80% ). Cameras are okayish. Daylight pics are very good. Natural looking photos. Bit saturated. Photos clicked in relatively dark or artificial lighting environment have minimal noise which can be figured out when zoomed in. The Samsung features which have been brought from the elder ones are nice. Some are plain bloatware. But Samsung Pay is great. Bixby too. For me it was a 4.5/5 because of the deal. Very happy.",Amazon Customer,11 November 2018,4.0 out of 5 stars
Great for 2 Sims and dedicated memory,"This is a great phone if you are having two Sims and want to use a dedicated memory card. Most dual SIM phone go slow queen you user them overtime. This phone which is on the latest android and huge battery, provide enough juice for minimum 2 days. Good camera, good speakers, great battery. Easy fit in hand for one hand usage.
Also the phone came at less than 50% of the value when I got this during the Great Indian Festival.",Benoy M.,13 November 2018,5.0 out of 5 stars
Excellent quality as expected from samsung,"Samsung phones simply refuse to die. I have never purchased a Samsung smart ph which is still not in use starting with the Samsung wave 1, S3, S4, Core 2 etc. All my other makes including Apple are lying dead in the drawers. Going by the excellent build quality, display and camera on this one, I have no doubt this too will maintain the reputation.
It's not as fancy as the notched Vivo etc phs but the quality of integration and build quality is way way ahead.",Amazon Customer,25 October 2018,5.0 out of 5 stars
A budget buy with a class,"Don't compare this product with cheap China products. It has many more hidden features which you won't find in cheap products like other China one. Like ip68 rating, credit card swipe feature best quality super AMOLED screen and many more. There is a class in the product itself without trust of the brand. You can go for it blindly.",Ujjwal Chetan,29 November 2018,5.0 out of 5 stars
Never miss (if u r a normal user/ office worker),"After one month of usage, its the best for me.(i am not a hardcore gamer). Camera and picture quality is good . Sound is also better.
The earphone provided was decent.
Above all it looks premium in hand.
Battery life is average (hardly one day for normal usage )
I like Samsungs UI .
Position of the fingerprint scanner is ergonomic and the notification panel can be scrolled down scrolling down the fingerprint scanner. (I found it helpful)
Overall its a good one. I bought it for 22000 during offer period (11-10-2018)",Rudin George Cleetus,9 November 2018,4.0 out of 5 stars
Go with offer price,"Using since 3days.. .just love it.
Brought best price in offer.
Good Features
Camera
Display
Sound
Model
No heating
Charging very fast.
Video calling
Avg
Battery backup.",Madhu Mangalagiri,8 November 2018,4.0 out of 5 stars
Poor Amazon service..!!!!,The device is very nice and awsome the only problem i had was the bundled earphones were defective and when i talked the amazon coustomer care they said they wont replace them unless i give the whole handset which is pritty hard when u hv imp data on it and there is no way to bckup looking frwrd for help.!!!!,Shubham Shekhawat,1 November 2018,1.0 out of 5 stars
Average mobile.,"Not very pleased with the rear camera .
And also there is no led light in front for selfie.
So if you want to take selfies in night in low light it is a nightmare for you.
Rear camera is not satisfactory and disappointing by such a brand .
Overall other features are intresting although with old processor performance is good .
Photo centric person should go for another handset.",Md yasin,19 October 2018,3.0 out of 5 stars
ONLY INDIAN SIM WORK WITH THIS UNIT . OVERHEATING,I bought this phone to use in my workplace outside india. It was not mentioned earlier that this unit works in india only...The phone is useless for me now as its not connecting to my STC sim...And it is overheating very quick .,BV,11 November 2018,1.0 out of 5 stars
Great experience,Nice product by Samsung . overall good performance compared to other Samsung products,Aniket,4 October 2018,5.0 out of 5 stars
awesome mindblowing phone with the price of 14000,"Trust me this phone is awesome with big display... n the best thing is its having 6 gb ram with ip 68 rating...like no matter what you can use it very rough.....
n the best example i can give u... i bought this phone specially to play PUBG.. trust me the phone is super cool... after playing for hours n hours then also phone is not at all heating.....
n the best thing thanks to amazon for giving me this super duper deal... i got this phone for 14787rs....... the original price is 34000. INR....",JAYDEEP AICH,28 November 2018,5.0 out of 5 stars
Bugs!,Phone is good but a lot of bugs came in just 2 days. My SIM card is stopped working in this phone. Messages are sending automatically to some unknown people. Front camera is good but rear camera is not that good. Focus of rear camera is really bad. Even it's not blurring image. Phone is quite heavy. Battery life is good. But I don't know where that bugs came from. Even I didn't used internet on first day but there were some bugs in it. Is that bugs came from Amazon??,Suhail s.,9 November 2018,2.0 out of 5 stars
Good phone,"Value for money with great features. Loud speaker is a bit low. Otherwise the phone is very good. I am very happy as my old phone is exchanged at better price and I got a very good phone as replacement.
Dual sim is not working. Only one sim is detected",Pavan Kumar Burugula,18 November 2018,4.0 out of 5 stars
Good product with false Promises from Amazon,"Average picture quality and battery life for money paid. Overall satisfied with product.
I feel sorry to add below feedback. It's for Amazon order placed during period where free screen replacement offer was going on.
And I have not yet got this offer. Even after couple of follow ups.
Very bad service by Amazon and False promises.",Amazon Customer,4 November 2018,1.0 out of 5 stars
Network issues,"Network issue.i am using same idea network on both Sims.but some times,one network shows emergency calls only while other shows good signal.
And some times ,calling doesn't disconnect.
And sometimes, Bluetooth doesn't disconnect easily.for this I had to rest at.how can I resolve these issues?
Otherwise phone is good",LALAM V.,15 November 2018,3.0 out of 5 stars
Samsung a8+ best phone other than J & E seris,"Thanks amazon for the phone.
Samsung a8+ best phone other than J & E seris.",PRADIP Behara,9 May 2018,5.0 out of 5 stars
Good one.,Very good in all ratings but sound quality is too poor. It nees some more ext.on sound quality. Over all a good one.actually this product has got right for best but it stoped at good due to sound quality.,Lombodar Patnaik,2 November 2018,5.0 out of 5 stars
Only purchase if its on offer,I only purchased coz i got it at 18k price including discounts.. Otherwise its not worth buying for 24k. Cannot play PUBG on this handset.,John,19 November 2018,5.0 out of 5 stars
Very Happy,"Simply great.
Only dowside would be battery life.
Besides that works great...
Takes hell load of apps with getting slow.
Bought it for Rs 23k in amazon sale.",MD SAYEED HASAN KHAN,18 November 2018,5.0 out of 5 stars
Fully Satisfied. ⭐⭐⭐⭐🌟,"Samsung Galaxy A8+ is Best Phone Under 25k. Sar Value of Phone is very low(0.29).Always on Display working perfectly. Display of the phone is superb. No other phone provide display like that under25k.""Sound quality"" is amazing. Just go for it.",Amazon Customer,28 October 2018,5.0 out of 5 stars
Great phone !!,"Selfie camera great.. rear camera ok, some pics with gooda ambient light are awesome. Sound quality great. RAM management awesome. No lag. Everything goes smooth. Battery lasts for a day with 4g data on and normal use whole day. But thanks to adaptive fast charging, it charges really fast.",Rajesh Sharma,20 November 2018,5.0 out of 5 stars
Great good looking smartphone,"Struggles a bit in artificail lighting conditions. But overall a very nice product. Sound quality, picture quality , battery life, phone build quality all very good. But Rs 300000 is a bit high. I got it in 23990 in great indian festival sale and for that price it provides very great value..",Rishab garg,10 November 2018,5.0 out of 5 stars
The best choice,"I think if you want a stablished mobile brand company then go for it blindly.
All rounder package in this price segment and This mobile meets all the basic needs.",Amazon Customer,15 November 2018,5.0 out of 5 stars
Good Mobile,"Very good and stylish mobile
batter life superb.
Mobile usage and net usage speed is too good
very good mobile for professional users.
camera is little bit disappointment for me( front is ok, but rear camera is not satisfied )
Fast charging support is nice one.",Praveen V,19 November 2018,5.0 out of 5 stars
Good,Got A8 plus at at a great price,Amrendra Singh,6 November 2018,5.0 out of 5 stars
Wow!!!,I am very happy with this product..and prod8ct us also very nice...but rear camera quality is not good...Ar,arvind,24 March 2018,4.0 out of 5 stars
Good,Really nice phone. The camera is pretty good. It having good battery life and fast charging.,HARIPRAKASH,11 August 2018,5.0 out of 5 stars
Phone quality in d range of 15000 phones. Price exceptionally high.,Not a very good phone. Even a worst quality phone of Samsung I have ever used. Not expected from Samsung. Camera quality is not very good neither display is very good. Mobile phones in d range of 14 - 15 k are far better quality than this.,Anshul Agrawal,7 November 2018,1.0 out of 5 stars
Nice phone but high cost,After a month review .. everything is fine but picture quality so worst .. really unxpctd ..if I go zoom picture it's blur .. picture not look real .. note 5 pro mi is very super with cost.,Venisweetu,9 November 2018,4.0 out of 5 stars
Very Stylish Midrange,Very good build Quality. Camera Performance is very impressive. But in low light picture quality is not so good..Sound quality is excellent. Finger print and face detection is quite impressive. Slow motion video and 4k video not available.,Sudipta Roy,12 November 2018,4.0 out of 5 stars
Overall a good product but the price down hurts most.,Ip 68 n display quality good but face unlock system not working properly in lowlight.,Prasant K.,19 July 2018,4.0 out of 5 stars
It's OK,"1.It has a lot of bugs
2.Can't talk on calls or play media while charging above 80% because of audio fluctuations
3.Didn't get a single update in 2 months
4.worse magnification gesture
5.battery life is avg
6.
Rest is alright",fahad siddiqui,17 November 2018,3.0 out of 5 stars
nice product for the,very fast delivery by amazon and the product is superb. nice product for the value,Harikrishnan,10 May 2018,5.0 out of 5 stars
Best phone and best price by Amazon,"This phone is very good as I am Regular consumer of Samsung mobile,I know Samsung phone stay last forever,means if you use for more 2-3 years you will find phone is working as like as in working starting days.",atul pathak,10 November 2018,5.0 out of 5 stars
Poor phone,"Poor phone,
Don't buy
More price and poor qaulity phone, camera result very poor, better drainage more, in this range very good smart phone available in market with extra features.",Shailesh,17 November 2018,1.0 out of 5 stars
Great phone,Great build quality... The phone is very comfortable to use because of it's good screen ratio.,Akash,29 April 2018,5.0 out of 5 stars
Five Stars,Nice phone. Bout few months back...it's fine.,anto,3 May 2018,5.0 out of 5 stars
Defective product delivered,Phone does not start even after full charging,Amazon Customer,13 October 2018,1.0 out of 5 stars
Avarage phone but excellent perfomence,Perfomence is excellent but camera clarity is not worth of cost and sunlight pics are excellent low light are not sensitive phone back panel will break if you drop phone by chance.,OSMAN ALI,20 November 2018,4.0 out of 5 stars
Good one,Good product,Amazon Customer,6 November 2018,5.0 out of 5 stars
Amazing products,"It a nice phone having stunning performance , battery backup and display . Front dual camera clicks amazing selfies.",Amazon Customer,28 October 2018,5.0 out of 5 stars
Its a nice phone,Good battery life and runs smoothly..using from last 6 month with no issue,Nikunj Soni,16 September 2018,5.0 out of 5 stars
Very Good one,Nice but hanging problem now and then,Ramsharma,12 November 2018,5.0 out of 5 stars
... using 6 months i can say this is very good phone and the battery backup is very good,after using 6 months i can say this is very good phone and the battery backup is very good....,nihar parida,20 July 2018,5.0 out of 5 stars
Average product,Photo not clear if you zoom it clarity not good. In same price I can get a another mobile with better configuration.,ALOK RANJAN,24 October 2018,4.0 out of 5 stars
best phone,"best performing phone.specially Samsung pay is the best app had in this phone.user friendly,nice bettery fast charging,nice photos clicks.nice infinity display.overall must purchasable phone",kaushik p,7 October 2018,5.0 out of 5 stars
Samsung A8+,Picture quality is the best when used at night. It doesn't hurt the eyes and the Dolby Atmos sounds good too.,Debesh Pradhan,11 November 2018,5.0 out of 5 stars
Value of money Samsung Galaxy A8+,"All-around phone is value of money
Great battery backup
Fast charging
Fully display
Great 👌🏻body finishing",Amal,12 November 2018,4.0 out of 5 stars
Good Purchase,Extremely happy with the mobile,V.G,16 November 2018,5.0 out of 5 stars
Worst Samsung Phone,The worst Samsung phone I have bought. The voice quality and data speeds are pathetic. When I use the same SIM in other phones the services work just fine. Don't buy this phone.,Anshul D.,29 November 2018,1.0 out of 5 stars
Satisfied,The look of Phone is very good . I’ve recently bought note 8 and it looks exactly the same . The look is really classy . Worth the price totally 👍🏻,Aanchal,26 October 2018,5.0 out of 5 stars
Don't buy Amazon sucks,"Amazon is worst platform for buying mobile
Phone .
No replacement no return even after 8 days useless phone
Stuck on boot
Not able to switch off",Vishvjeet,7 November 2018,1.0 out of 5 stars
Overall all good phn.,"Best phone...nyc display, no lagging, good battery lyf, u can go 4 it.",Akash Mahoor,22 September 2018,4.0 out of 5 stars
Great deal,"I got, what was told on site
Got a very good deal with exchange and bankers discount.
In total - got a good deal",Amazon Customer,20 October 2018,5.0 out of 5 stars
Nice product for samsung,"Nice phone..
But after six month of use betry backup is not good..
But i recomand to buy one plus or others in ghis price segment..
I just buy it for samsung brand..",jaimin,28 August 2018,5.0 out of 5 stars
Five Stars,best phone with good battery backup which lasts whole day.....gives a feel of flagship mobile....totally amazing product by samsung,Amazon Customer,8 May 2018,5.0 out of 5 stars
Very good Mobile,Samsung high quality cell.,SUMANTA,28 November 2018,5.0 out of 5 stars
Not worth buying for a longer time,"Gives me problem now after 3 months. Switches off suddenly. Gives me error with microphone not working and then asks to restart phone.
Not upto the expectations!!!!",M,3 August 2018,3.0 out of 5 stars
Samsung A8+ not happy,The 4g speed of data not doing that fast as expected. All downloads in playstore n pictures download n transactions are very slow. Not expected looking at featutres,Amazon Customer,29 October 2018,2.0 out of 5 stars
Reliable phone under rs25000,"Camera was awesome and sound quality was good of speakers battery life is also fine prossecing time of ram is good..
Overall best phone in this range.",Yash,10 November 2018,5.0 out of 5 stars
Mobile network locked.,"This mobile is locked and I am not able to use in Saudi Arabia. Though it is used in India for two days before I bring it here, it is asking for network unlock pin. Can anyone help.",Aboo G,15 November 2018,1.0 out of 5 stars
False MRP,MRP was wrongly advertised and the discount percentage projected was wrong and cheating,Dr.Niju G.,21 November 2018,3.0 out of 5 stars
Nice phone,"Picture quality is superb, sound quality is also good and battery life is best",RAKESH KUMAR NAYAK,29 October 2018,5.0 out of 5 stars
Amazing Phone,The phone is just amazing. But the battery life is not as expected If you want to you can just purchase it right away no doughts you'll love the phone,Venkat Varshith,27 October 2018,5.0 out of 5 stars
A8,Its hanging phone. Its ram 6gb than also it will stuck sometime...waste money. don't buy mobiles in Amazon site...use flippant....they are responsible for customers concerns,ANUDEEP,26 October 2018,1.0 out of 5 stars
Nice,Nice phone nice look his voice is very good and speaker also good and that full water proof that very nice,Ajaz Malek,9 November 2018,5.0 out of 5 stars
Best phone considering price point by Samsung,"Likes
Display
Camera
Battery life
Samsung pay
Processor
Build quality
Fast charging
Nothing seems to be bad,,,,",Pawan Kumar Tiwari,29 October 2018,5.0 out of 5 stars
Do not buy as there is network problem in mobile,"network is very very week. Other model of sumsung have better network in comarision of Samsung A8 +.
If Amazon/Samsung really care for customers, please do something.",surender kumar,26 November 2018,1.0 out of 5 stars
Good.,Good..,AVj,23 October 2018,5.0 out of 5 stars
superman,"this is my third love... beautiful, powerful, inteligent
amaging",sahil s.,18 August 2018,5.0 out of 5 stars
Very good,Great phone and good camera especially selfie are great,Jebraj N.,14 June 2018,5.0 out of 5 stars
Versatile phone,Its a versatile phone its just that the company should give tempered glass free with it,Mohammed Shamim,4 November 2018,5.0 out of 5 stars
Five Stars,Good one from Samsung,Dhir Sahab,21 July 2018,5.0 out of 5 stars
1 week User,"Face recognition bad, Both Camera good, need to add slow motion cam and screen recording option, Gaming was good, battery is okay, totally mid range mobile.",Amazon Customer,24 October 2018,4.0 out of 5 stars
SIM2 is not working.,SIM2 is not working. Samsung customer service not supported.,Sridhar Chinthakuppam,6 November 2018,1.0 out of 5 stars
DID'NT EXPECT SUCH PHONE FROM SAMSUNG IN SUCH PRICE LIST,Picture Quality is Not upto the Mark as seen to Price of phone.. Worst Shopping ..😔.. Slow Motion Vedio👎.. Camera Front/Back👎.. Battery life is Ok But Rest .. ⭐⭐⭐,Amol,22 November 2018,3.0 out of 5 stars
Good,Very good price in the Diwali offer. Otherwise it will cost me more. Overall good product.,RABINDRA,18 November 2018,5.0 out of 5 stars
Good phone,"Phone's features are good, display is superb,camera quality is good,sound is also, except for battery, Samsung would have added more battery power",AMAZON VERYFIED CUSTOMER,9 November 2018,5.0 out of 5 stars
Five Stars,Excellent. Happy to own it.,Rajprakash Ratnam,25 May 2018,5.0 out of 5 stars
Thanks for quick delivery Nice to see the phone as per selection Phone was ...,"Thanks for quick delivery
Nice to see the phone as per selection
Phone was in excellent condition
Baterry is also amazing. Phone is best in its category",manan,25 April 2018,4.0 out of 5 stars
Very very good,Very very good,Jayanth B,10 November 2018,5.0 out of 5 stars
Gr8,Best deal captured,Haris Butt,3 November 2018,5.0 out of 5 stars
Five Stars,"Best dual Camera in front and processor Speed.
Best phone under 35000 Rs.",Amazon Customer,1 June 2018,5.0 out of 5 stars
Not to buy this because of software issues,Ok but some time the contents list is missing and we can't take call,siyad k p,13 November 2018,4.0 out of 5 stars
Amazon's is amazing😀,"Wowww, what a performance this mobile
So good
But 4k recording not available",soumya das,31 May 2018,4.0 out of 5 stars
Should have provided powerful CPU,Samsung should have given powerful processor in this price range. Otherwise the other specs are good and display is crisp.,Sourish Dey,15 June 2018,5.0 out of 5 stars
Awesome,I brought at 32K at the time of phone launch. Now price reduced about 10K,Kalaimohan,3 November 2018,3.0 out of 5 stars
Superb,Compare to China brands like vivo and OPPO real me honour etc etc good good pic clarity and low light light photos are awesome all ways brand is brand,Amazon Customer,22 November 2018,5.0 out of 5 stars
I think in samsung its 1st choice. And select in 1st time,"Its my 1st samsung mobile
Really it’s amazing phone
N so beautiful.
So smoothly
*****
Lovable.
Thanku amazon.😊",danish khan,9 November 2018,5.0 out of 5 stars
Good Build Quality,One of the best phone in this range it gives royal feeling and awsome build quality and good design. good phone,Gautam Chauhan,30 June 2018,5.0 out of 5 stars
Five Stars,Very good.,Amazon Customer,23 April 2018,5.0 out of 5 stars
Good buy,Good speed with awesome security features,subodh,6 September 2018,5.0 out of 5 stars
Two Stars,Front cam was worst??,BUDDHA VENKATA NAVEEN,28 April 2018,2.0 out of 5 stars
Battery life And voice quality,"A good product..little heavy and bigger..but we'll designed to fit to handle..battery life,speed,voice quality etc good while using for everyday use.",Abhi..,9 September 2018,5.0 out of 5 stars
Soun volume is best,Impressive i like it i am using this from 1 to 3 months and i love it # & &D,Devesh,1 July 2018,5.0 out of 5 stars
3rd Grade Battery,"Battery life zero
3rd class battery, not work more than 8 hours, if you use your phone for talking 1 hour",kamesh gupta,24 October 2018,2.0 out of 5 stars
Best and affordable premium smartphone,"Overall experience is good. Few areas of improvement as follows.
1. Rear camera quality
2. Display and body captures fingerprints",Sankarkumar,29 July 2018,5.0 out of 5 stars
Five Stars,Awsome,Hiteshwar Kochar,5 May 2018,5.0 out of 5 stars
Samsung is best,"Samsung is always best in quality
I don't know about low end phones but this phone is really great",Amazon Customer,19 November 2018,5.0 out of 5 stars
Ok,Nice,Anandan Manoharan,19 September 2018,4.0 out of 5 stars
Average product,Nt. A good product in dis price range buy a one plus or any other device seems quite expensive in this price range,Kausain,1 July 2018,3.0 out of 5 stars
Good,Good,shah,25 August 2018,5.0 out of 5 stars
Super awesome,Super phone,ulhas kulkarni,26 October 2018,5.0 out of 5 stars
problem in functioning.,my phone which i have bought from amazon sale a8+ is giving me problem...it automatically starts any of app...and if i back it restarts the app.,Amazon Customer,28 October 2018,1.0 out of 5 stars
Good one,I think this not that much PAISA WASOOL. Rear camera quality is not good,Anjani kumar,2 July 2018,3.0 out of 5 stars
An awesome phone and the front camera make me so happy ...,An awesome phone and the front camera make me so happy every time I click a picture,Mudassir,24 April 2018,5.0 out of 5 stars
